,TimeStamp,Challengee,Street,City,Witnesses
0,2021-05-08-01:00:39,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
1,2021-05-08-10:47:51,112YWEDhqBGDwnVsuCujvA8sg1cxTL4g9jZAY7PbTii7YPZcyNDm,Crown Ridge Common,Fremont,25
2,2021-05-08-10:10:03,112PbofDmvsS25gNxVeqzY1ggBog2r2WBng2k7BSWz4JUQknVoYW,High Glen Dr,San Jose,25
3,2021-05-08-09:43:07,11Vr7oXv75xrKNjqmndugEckRcJMC99S52of4Go6v3Z754o2G49,Stewart Ave,San Jose,25
4,2021-05-08-06:51:08,11wmdQxMorp1AebX2MPAQnpLZmnR7UN8NVAb3YTS8gxGXEZbZ56,Campo Vista Ln,Los Altos Hills,4
5,2021-05-08-06:03:33,11wMzjoeyBPRDhXoJ3EsyUXfW95ygCjik17bVDibVDTEvHVQUtm,Largo do Dr. Tito Fontes,Porto,5
6,2021-05-08-04:56:23,112tezZ9GdWzgL6iywv12PHDGKspP1Y8W5WEPxpTWmXqbDwWqFxK,Estee Ct,San Jose,25
7,2021-05-08-03:37:11,112PbofDmvsS25gNxVeqzY1ggBog2r2WBng2k7BSWz4JUQknVoYW,High Glen Dr,San Jose,25
8,2021-05-08-03:30:31,112YWEDhqBGDwnVsuCujvA8sg1cxTL4g9jZAY7PbTii7YPZcyNDm,Crown Ridge Common,Fremont,25
9,2021-05-07-11:23:47,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,1
10,2021-05-07-10:08:26,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,25
11,2021-05-07-08:09:56,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,13
12,2021-05-07-05:37:54,112J1LneLpeThf9wB5YR3upP9FEjFUMHi1h3gQ61JobUXVzoxVkf,Ross Dr,Sunnyvale,1
13,2021-05-07-04:32:10,11u1QcRhyxBzATv6PF2ayiVj1ikmSdBM4ZHAp9rNU2Q6dcu6wZT,8th Ave,New York,25
14,2021-05-07-02:48:50,11S1bAKUon2mtZ5eLh9HX22vxJLSWqKz5xecULqg63GNQUvBehs,Harrison St,Santa Clara,2
15,2021-05-07-02:48:00,112YWEDhqBGDwnVsuCujvA8sg1cxTL4g9jZAY7PbTii7YPZcyNDm,Crown Ridge Common,Fremont,25
16,2021-05-07-01:50:20,112SDjb928fBrnhzLLLif1ZNowE9E8VYfkHLoQTUoUQtuijpaPVd,N Almaden Blvd,San Jose,25
17,2021-05-07-12:42:17,11YxkG1mreZt3JQcZ8bwkdTJJQ66ZSs18AdXMw1594x6KnVfNGd,N Almaden Blvd,San Jose,24
18,2021-05-07-10:56:42,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,12
19,2021-05-07-10:43:51,112YUrqguZmnuXKANrSKNZLKG4Z1BZEs3aXYuT6fthHp97uFH1rg,Schreiber Dr,Munster,24
20,2021-05-07-10:24:22,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,12
21,2021-05-07-08:59:20,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,7
22,2021-05-07-06:43:01,112jRiYQKF2S7Aqd4ZpkXUGfGQCXYfkShs5H3VTqMpk3HVuos8XF,N Wabash Ave,Glendora,8
23,2021-05-07-06:12:19,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,22
24,2021-05-07-06:10:34,112pQZSsvZRAtHUqUwXEiAg9kL4NDXQCSNuKX7LhSgztFedQ6zn7,Piedmont Rd,San Jose,25
25,2021-05-07-05:14:31,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
26,2021-05-07-04:43:19,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,14
27,2021-05-07-02:15:35,112d7qARXQp2N43B8gGCzX1LoE5JbAEBTDq7nwL8ei49yyJUdAo9,Isadora Dr,San Jose,25
28,2021-05-07-02:09:45,112Q8tCCGfT23A4qggqv2Bn4R85vf62frkaSwwVFezpCfFa9KdaE,Chester St,Worcester,1
29,2021-05-07-02:06:25,11W28wHRmLRU3hzi9vy3sUUM1SkYiXgx4hmduJ2yRk4FzH7YaQk,Portofino Dr,San Carlos,25
30,2021-05-07-01:39:05,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,18
31,2021-05-06-11:50:03,112VYECRxdyUixsN3KyTMdJaNdGGNF6UARwS5Pkyi86xoiBkSyLU,Arlington Ln,San Jose,13
32,2021-05-06-06:14:23,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,5
33,2021-05-06-05:42:25,1123Y723BnLWbzRqGTdKxrbXx248THET18gkSm6THmMjJSbiyRTn,Logan St,Denver,16
34,2021-05-06-04:24:32,11W28wHRmLRU3hzi9vy3sUUM1SkYiXgx4hmduJ2yRk4FzH7YaQk,Portofino Dr,San Carlos,25
35,2021-05-06-03:53:38,112AfFj1rfC34mQ4HagmdJmx6uYbgkk6cwvfjshADmk5XY1gCntT,Los Patios,Los Gatos,25
36,2021-05-06-03:53:38,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,17
37,2021-05-06-03:37:42,11p7hJADhMunHBtNn61cKeFbGzFmehM2s9SYkj2RC6aVAMz2LvX,Gridley Ct,San Jose,14
38,2021-05-06-02:27:21,112pQZSsvZRAtHUqUwXEiAg9kL4NDXQCSNuKX7LhSgztFedQ6zn7,Piedmont Rd,San Jose,25
39,2021-05-06-12:58:28,112QuCbnu2EbjnkZmjTkqX3x7ZCA2Td17GHWubctbZdEigFXeVYt,10th Ave S,Minneapolis,3
40,2021-05-06-11:28:00,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
41,2021-05-06-11:19:15,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,7
42,2021-05-06-07:32:45,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,25
43,2021-05-06-06:02:34,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
44,2021-05-06-05:17:22,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,22
45,2021-05-06-05:05:55,116g94nuxiPoUnALgoo9eiVWmBWniUmipSWQAiv3vQXL4VMFmin,N Almaden Blvd,San Jose,19
46,2021-05-06-04:25:03,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
47,2021-05-06-03:44:28,112Cggcbje3yS4a1YpfyVNt1B2DTYNqiFjwaNEvfJp6fhc8UPuLc,Tucker Dr,San Jose,25
48,2021-05-06-03:39:57,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,25
49,2021-05-06-03:26:53,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
50,2021-05-06-03:15:03,112m3W9u7AyW5aQicvtcujWJ1vBiUMS88XjMWFmqf1H48CSL1hAn,Continental Cir,Saratoga,25
51,2021-05-06-03:10:53,112m3W9u7AyW5aQicvtcujWJ1vBiUMS88XjMWFmqf1H48CSL1hAn,Continental Cir,Saratoga,25
52,2021-05-06-03:00:51,11KniyuFsHPqBN36B2dNpYngjavE6Hv6KfwVS8vGwLZDA53uSj2,Hiltibrand Dr,San Jose,11
53,2021-05-06-02:42:56,112YWEDhqBGDwnVsuCujvA8sg1cxTL4g9jZAY7PbTii7YPZcyNDm,Crown Ridge Common,Fremont,25
54,2021-05-05-08:17:15,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,15
55,2021-05-05-07:03:52,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,23
56,2021-05-05-06:51:07,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
57,2021-05-05-04:39:39,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,16
58,2021-05-05-03:09:20,11YniP9EZgRmxdNy4iHEFZAWjpjvxQHc137ch4E7hU1LR5Mv7D9,Creekline Dr,Cupertino,16
59,2021-05-05-12:42:41,112tezZ9GdWzgL6iywv12PHDGKspP1Y8W5WEPxpTWmXqbDwWqFxK,Estee Ct,San Jose,25
60,2021-05-05-08:22:52,11KniyuFsHPqBN36B2dNpYngjavE6Hv6KfwVS8vGwLZDA53uSj2,Hiltibrand Dr,San Jose,14
61,2021-05-05-04:15:27,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,18
62,2021-05-05-03:41:26,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,25
63,2021-05-05-03:39:46,112h6cNby6PL5xgU6SC9opTHCm4gV55NatPRyNtgitfJ8j7yfjcv,Maple St,Hartford,15
64,2021-05-05-03:24:45,112J1LneLpeThf9wB5YR3upP9FEjFUMHi1h3gQ61JobUXVzoxVkf,Ross Dr,Sunnyvale,3
65,2021-05-04-11:52:25,1124xkpFwpM7LniTPoNDgp8LFB9QcEFEoBGSDAhyVawmGSZJnpYB,Reigerstraat,Maassluis,9
66,2021-05-04-11:34:30,11KniyuFsHPqBN36B2dNpYngjavE6Hv6KfwVS8vGwLZDA53uSj2,Hiltibrand Dr,San Jose,12
67,2021-05-04-11:05:53,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
68,2021-05-04-10:07:43,113TNfaTkNfR1NoDHDniSsZsYo4XDDYgRcWVpsDWWM91pmSqk8i,Gum Tree Ln,Los Gatos,25
69,2021-05-04-07:59:39,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,23
70,2021-05-04-07:47:06,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,23
71,2021-05-04-07:44:29,1189BBR6XM16FKKgTMk8JnLH4w5Smrznbywtr51Yjg38s7fsh6H,Miltfred Terrace,Rockville,2
72,2021-05-04-07:27:20,112Eatc1hsGLNP5HESRsMWfG3m8nwUssoVXfWHFDwP6AritdT9by,Fairfax Way,South San Francisco,25
73,2021-05-04-07:17:56,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
74,2021-05-04-04:47:54,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
75,2021-05-04-03:38:03,112dZPYwPFi6Bji2d64scQWR5cKBFjJNjZPYVsUJuekV7Ga4EiMP,Magazine Ave,New Braunfels,3
76,2021-05-04-03:26:15,112b8kisLJtVfUBWvRdF8Gj2wCFumyjhnxoZ8XYfU3gXDsWUovqS,Wellington Dr,Milpitas,9
77,2021-05-04-11:02:14,11G7svrapMVqMfVdpNP5ojE4ghgkNrKRUrqqFfaeeKuTYe2gJgX,W Magnolia Ave,San Antonio,8
78,2021-05-04-08:55:26,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
79,2021-05-04-08:01:55,112AfFj1rfC34mQ4HagmdJmx6uYbgkk6cwvfjshADmk5XY1gCntT,Los Patios,Los Gatos,25
