,TimeStamp,Challengee,Street,City,Witnesses
0,2021-05-07-06:58:05,112fXRsBC9d1VYhsQJzk4ZG49Xy7dD1RKgqns7uhXwdim8xQ3rXY,Tom Blalock St,Fremont,2
1,2021-05-07-06:34:23,11sAaGTavNJjGgpcoRL5GQACTbWQq4zvftgrZwjabMqJRNfyZn4,Pineville Ave,Cupertino,12
2,2021-05-07-06:18:23,117oAeQVCdRWtCZU5eoDaFaVqpY8tFzbKy246ZRRWoqcARFYtLs,Monroe Dr,Mountain View,15
3,2021-05-07-04:59:56,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,2
4,2021-05-07-04:56:36,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,23
5,2021-05-07-03:40:22,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,11
6,2021-05-07-03:35:49,11s1tqYnoPpWqW4YCgRKAQvFjteyGrDidn8qAudRpbA6ehVeDSr,Pistachio Terrace,Sunnyvale,2
7,2021-05-07-02:47:10,115QUZpNgfFbvtBkby5BsEpzrc2vcwnWn5oNcZe6skzCRDnJzNX,Robway Ave,Campbell,14
8,2021-05-07-02:14:06,11MmvLcMzXtePpzW3HDTVCVZoYTaoweWdgMwYXbyYX7wmnzRyjX,Nelson Dr,Palo Alto,16
9,2021-05-07-01:24:04,11w5gMGCQUv3yPLyNaP7eA4skFGaALVEv7UXL6yBiSa7DpM9eWW,High St,Palo Alto,23
10,2021-05-07-01:17:24,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,10
11,2021-05-07-12:57:08,11UrWhR43WZnvyMGgWLgLphJ8Wg69gzToT8uimagS1dPcHkNusu,Sunnyvale Saratoga Rd,Sunnyvale,8
12,2021-05-07-11:16:33,11BQWYMcd6FsfzoxFcsbLF7TyE7PNMxmnuFHaGxpUJ6wbqqiT5D,E California Ave,Sunnyvale,3
13,2021-05-07-10:56:42,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,12
14,2021-05-07-10:43:51,112GZv7irEG9mKUyN4QQDKS2Y6FxqVY4DMSSBFhJYPhyLfsJZ4D6,S Sunnyvale Ave,Sunnyvale,7
15,2021-05-07-10:24:22,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,12
16,2021-05-07-09:49:42,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,6
17,2021-05-07-09:49:42,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,25
18,2021-05-07-09:31:44,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,11
19,2021-05-07-09:28:23,112Yj3A81fZUiC7xe6J1ZDN9tPGMf2qov2UqxP7Y5wRK6QMkyKe2,Montrose Ave,Palo Alto,17
20,2021-05-07-09:25:42,112v3EHCZrzb3rVheLsoYyiPz8WZCexzNgW325sZ1Eo8s7t1Jpsa,Lexington St,Santa Clara,7
21,2021-05-07-09:25:42,11s1tqYnoPpWqW4YCgRKAQvFjteyGrDidn8qAudRpbA6ehVeDSr,Pistachio Terrace,Sunnyvale,3
22,2021-05-07-09:22:22,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,13
23,2021-05-07-09:18:33,112na4aZ1XZsFFtAwUxtEfvn1kkP37yQ8zaTVvYBBEfkMEUkyzhx,Charcot Ave,San Jose,25
24,2021-05-07-09:17:43,11UQ2DLeanoZrKi43PSFv41sb87RQ7hR76MMXSoGxgBjYVoibvv,Santa Fe Terrace,Sunnyvale,7
25,2021-05-07-09:16:53,112BJGW9eHsm4GAXe5cSAWbFUW75adyr8Ccax22C2c7YPxgbGgeA,Via Paviso Dr,Cupertino,6
